name	genename	timepoint	switch	pvalueSwitch	experiment	FCdown	FCup
hsd17b12a	ENSDART00000005299.10	5	up	0.0576816077860434	MZspg		4.0hpf 4.5hpf 5.0hpf 5.5hpf 6.0hpf
ttc5	ENSDART00000005326.5	4.5	down	0.00585477604942986	MZspg		5.5hpf 6.0hpf
rimkla	ENSDART00000005337.10	4	up	0.0640082851286843	MZspg		
rtraf	ENSDART00000005355.8	2.5	up	0.0807997749484511	MZspg		
def6a	ENSDART00000005359.8	4.5	up	0.0272893017088367	MZspg		4.0hpf 4.5hpf
spo11	ENSDART00000005373.9	2.5	up	0.112367956925926	MZspg	6.0hpf	
zgc:110269	ENSDART00000005381.8	5.5	up	0.00329816919001091	MZspg		2.5hpf 3.0hpf 3.5hpf 4.0hpf 4.5hpf 5.0hpf
gadd45bb	ENSDART00000005382.7	4	up	0.0494790851651816	MZspg		2.5hpf
calub	ENSDART00000005405.8	5.5	down	0.0526680177847484	MZspg		
psmd8	ENSDART00000005431.9	4.5	up	0.0461705699744728	MZspg		
rer1	ENSDART00000005464.8	4.5	up	0.0555752799490782	MZspg		
chm	ENSDART00000005479.9	5.5	down	0.0268291207545555	MZspg		
kctd9b	ENSDART00000005496.9	4.5	up	0.000669672052937109	MZspg		
tmem237b	ENSDART00000005573.7	4.5	down	0.0108475314165448	MZspg		
churc1	ENSDART00000005590.7	4	up	0.0611359397816751	MZspg		
kifap3a	ENSDART00000005609.10	4.5	down	0.00221149966968692	MZspg		
rnpep	ENSDART00000005616.9	5.5	down	0.0510819679607083	MZspg		2.5hpf 3.0hpf 3.5hpf 4.0hpf 4.5hpf 5.0hpf 5.5hpf 6.0hpf
glipr2l	ENSDART00000005625.9	5	down	0.0151187745953993	MZspg	6.0hpf	
thoc7	ENSDART00000005639.9	4.5	up	0.0379981810836871	MZspg		
lhx1a	ENSDART00000005641.6	5.5	up	0.000871843255409344	MZspg	4.0hpf	5.0hpf 5.5hpf
abcd3b	ENSDART00000005643.8	3	up	0.145235439850278	MZspg	6.0hpf	
dhrs7	ENSDART00000005670.7	4	up	0.0717852533007854	MZspg		
sox9a	ENSDART00000005676.6	3.5	up	0.0175708401094744	MZspg		
stat1a	ENSDART00000005720.6	3	down	0.0284094546293714	MZspg		2.5hpf 3.0hpf
itgb1bp1	ENSDART00000005784.8	4	up	0.0464629135558629	MZspg	6.0hpf	
gde1	ENSDART00000005829.6	2.5	up	0.0909357681794313	MZspg	6.0hpf	
mtmr6	ENSDART00000005845.9	4.5	down	0.000113694776359141	MZspg		
