"name"	"genename"	"pvalueSwitch"	"switch"	"timepoint"	"experiment"
"ENSDART00000169708.2"	"qkia"	0.141642298391396	"1"	"4.0"	"MZspg"
"ENSDART00000169710.2"	"utp23"	0.145991486660862	"1"	"5.0"	"MZspg"
"ENSDART00000169725.2"	"zbtb14"	NA	"0"	" NA"	"MZspg"
"ENSDART00000169726.2"	"e2f1"	0.133076643862212	"1"	"4.0"	"MZspg"
"ENSDART00000169729.2"	"sgo1"	0.097604648053921	"1"	"5.0"	"MZspg"
"ENSDART00000169730.2"	"si:ch211-199b20.3"	0.0423621887091137	"-1"	"3.5"	"MZspg"
"ENSDART00000169743.2"	"CABZ01064859.1"	NA	"0"	" NA"	"MZspg"
"ENSDART00000169748.2"	"fbxo7"	0.112878826158362	"1"	"3.5"	"MZspg"
"ENSDART00000169756.2"	"FP236812.1"	0.136998374765987	"1"	"4.0"	"MZspg"
"ENSDART00000169757.2"	"ubn2b"	NA	"0"	" NA"	"MZspg"
"ENSDART00000169764.2"	"syt1a"	NA	"0"	" NA"	"MZspg"
"ENSDART00000169767.3"	"rab25b"	0.0778282103930346	"1"	"5.0"	"MZspg"
"ENSDART00000169773.3"	"ddb1"	NA	"0"	" NA"	"MZspg"
"ENSDART00000169775.2"	"RAB19"	0.141696347040425	"1"	"5.0"	"MZspg"
"ENSDART00000169780.2"	"utp6"	NA	"0"	" NA"	"MZspg"
"ENSDART00000169783.2"	"pcsk6"	NA	"0"	" NA"	"MZspg"
"ENSDART00000169787.3"	"cnksr3"	0.111142348068698	"1"	"4.0"	"MZspg"
"ENSDART00000169805.2"	"eps8a"	0.145413180180469	"1"	"4.0"	"MZspg"
"ENSDART00000169806.2"	"si:ch211-207e19.15"	NA	"0"	" NA"	"MZspg"
"ENSDART00000169809.2"	"irf6"	0.134613164540202	"-1"	"2.5"	"MZspg"
"ENSDART00000169814.2"	"serp1"	NA	"0"	" NA"	"MZspg"
"ENSDART00000169816.2"	"galnt10"	NA	"0"	" NA"	"MZspg"
"ENSDART00000169820.2"	"psmg3"	0.0769346599825004	"-1"	"3.0"	"MZspg"
"ENSDART00000169821.2"	"cyp2aa8"	0.0652673489515231	"1"	"4.5"	"MZspg"
"ENSDART00000169823.2"	"pnpla3"	0.0697822180534526	"1"	"4.5"	"MZspg"
"ENSDART00000169830.2"	"trip4"	0.0372288139949709	"-1"	"5.0"	"MZspg"
"ENSDART00000169834.3"	"ap3b1a"	NA	"0"	" NA"	"MZspg"
"ENSDART00000169840.2"	"si:dkey-25i10.1"	0.124329845114878	"1"	"3.5"	"MZspg"
"ENSDART00000169845.2"	"pargl"	NA	"0"	" NA"	"MZspg"
"ENSDART00000169847.3"	"wdr47b"	0.100976682621174	"-1"	"3.5"	"MZspg"
"ENSDART00000169850.2"	"CU207221.1"	0.103857385542732	"1"	"4.0"	"MZspg"
"ENSDART00000169865.2"	"lcat"	0.108243455089573	"1"	"4.5"	"MZspg"
"ENSDART00000169881.2"	"CABZ01028771.1"	0.131903233242503	"1"	"4.5"	"MZspg"
"ENSDART00000169885.3"	"slc12a2"	NA	"0"	" NA"	"MZspg"
"ENSDART00000169894.2"	"tmprss4a"	NA	"0"	" NA"	"MZspg"
"ENSDART00000169895.2"	"zbtb18"	0.00878307840007209	"-1"	"3.5"	"MZspg"
"ENSDART00000169896.2"	"CABZ01084603.1"	NA	"0"	" NA"	"MZspg"
"ENSDART00000169907.2"	"PDCL3"	0.130249692068427	"1"	"4.0"	"MZspg"
"ENSDART00000169908.3"	"rbms1b"	NA	"0"	" NA"	"MZspg"
"ENSDART00000169909.2"	"CABZ01110881.1"	0.0924198814159335	"1"	"4.5"	"MZspg"
"ENSDART00000169912.2"	"gab2"	0.141035514100733	"-1"	"3.5"	"MZspg"
"ENSDART00000169915.2"	"nop58"	0.0960808662523284	"1"	"4.0"	"MZspg"
"ENSDART00000169916.2"	"dmxl2"	0.0586719085325071	"1"	"5.0"	"MZspg"
"ENSDART00000169921.2"	"trir"	0.0939050346599108	"1"	"4.0"	"MZspg"
